map,nside,mask,axis_pix,l,b,S_min,S_med,width5
PR3_Commander,16,full,1071,84.37499999999999,16.957763300004146,295.7453918457031,611.1522216796875,0.0006510416666666666
PR3_NILC,16,full,1071,84.37499999999999,16.957763300004146,297.3443908691406,624.1387939453125,0.0006510416666666666
PR3_SEVEM,16,full,1071,84.37499999999999,16.957763300004146,285.76776123046875,630.219970703125,0.0013020833333333333
PR3_SMICA,16,full,1071,84.37499999999999,16.957763300004146,301.2986755371094,622.3856201171875,0.0006510416666666666
Nofi_70GHz,16,full,1071,84.37499999999999,16.957763300004146,260.4416198730469,605.43798828125,0.0006510416666666666
Nofi_94GHz,16,full,1071,84.37499999999999,16.957763300004146,253.7197265625,609.1944580078125,0.0006510416666666666
Nofi_100GHz,16,full,1071,84.37499999999999,16.957763300004146,258.2469177246094,604.0730590820312,0.0006510416666666666
Nofi_143GHz,16,full,1071,84.37499999999999,16.957763300004146,255.9369354248047,600.595947265625,0.0006510416666666666
PR3_Commander,16,common,1134,81.56249999999999,14.477512185929925,170.31724548339844,469.493896484375,0.0006510416666666666
PR3_NILC,16,common,1134,81.56249999999999,14.477512185929925,170.9844970703125,471.45166015625,0.0006510416666666666
PR3_SEVEM,16,common,1134,81.56249999999999,14.477512185929925,170.71502685546875,465.73089599609375,0.0006510416666666666
PR3_SMICA,16,common,1134,81.56249999999999,14.477512185929925,171.2122344970703,470.40325927734375,0.0006510416666666666
Nofi_70GHz,16,common,1134,81.56249999999999,14.477512185929925,174.82034301757812,461.8994140625,0.0006510416666666666
Nofi_94GHz,16,common,1134,81.56249999999999,14.477512185929925,176.44775390625,462.9458312988281,0.0006510416666666666
Nofi_100GHz,16,common,1134,81.56249999999999,14.477512185929925,175.17147827148438,464.76422119140625,0.0006510416666666666
Nofi_143GHz,16,common,1134,81.56249999999999,14.477512185929925,172.6165313720703,460.81842041015625,0.0006510416666666666
PR3_Commander,16,ext,1134,81.56249999999999,14.477512185929925,129.26016235351562,395.6005554199219,0.0006510416666666666
PR3_NILC,16,ext,1134,81.56249999999999,14.477512185929925,129.50302124023438,396.9566345214844,0.0006510416666666666
PR3_SEVEM,16,ext,1134,81.56249999999999,14.477512185929925,130.0092315673828,391.02276611328125,0.0006510416666666666
PR3_SMICA,16,ext,1134,81.56249999999999,14.477512185929925,129.65582275390625,396.6343688964844,0.0006510416666666666
Nofi_70GHz,16,ext,1134,81.56249999999999,14.477512185929925,133.632080078125,386.0630798339844,0.0006510416666666666
Nofi_94GHz,16,ext,1134,81.56249999999999,14.477512185929925,138.41038513183594,388.9173583984375,0.0013020833333333333
Nofi_100GHz,16,ext,1134,81.56249999999999,14.477512185929925,135.5179901123047,389.47216796875,0.0006510416666666666
Nofi_143GHz,16,ext,1134,81.56249999999999,14.477512185929925,133.70382690429688,386.02239990234375,0.0006510416666666666
PR3_Commander,32,full,4446,84.37499999999999,15.713861048008212,563.3687744140625,940.1434936523438,0.0016276041666666667
PR3_NILC,32,full,4446,84.37499999999999,15.713861048008212,537.4138793945312,924.576171875,0.00146484375
PR3_SEVEM,32,full,4446,84.37499999999999,15.713861048008212,609.5444946289062,1014.3900146484375,0.0016276041666666667
PR3_SMICA,32,full,4446,84.37499999999999,15.713861048008212,544.82421875,925.0894775390625,0.0016276041666666667
Nofi_70GHz,32,full,4446,84.37499999999999,15.713861048008212,496.7644958496094,907.927734375,0.0013020833333333333
Nofi_94GHz,32,full,4446,84.37499999999999,15.713861048008212,510.2974853515625,929.664794921875,0.0011393229166666667
Nofi_100GHz,32,full,4446,84.37499999999999,15.713861048008212,498.9413146972656,907.9842529296875,0.0011393229166666667
Nofi_143GHz,32,full,4446,84.37499999999999,15.713861048008212,497.828125,904.993896484375,0.0013020833333333333
PR3_Commander,32,common,4573,82.96875,14.477512185929925,394.9183044433594,766.6118774414062,0.0006510416666666666
PR3_NILC,32,common,4573,82.96875,14.477512185929925,396.5058288574219,768.0548706054688,0.0006510416666666666
PR3_SEVEM,32,common,4573,82.96875,14.477512185929925,398.2493591308594,763.8776245117188,0.0006510416666666666
PR3_SMICA,32,common,4573,82.96875,14.477512185929925,397.5312805175781,768.4804077148438,0.0006510416666666666
Nofi_70GHz,32,common,4573,82.96875,14.477512185929925,397.37750244140625,753.5112915039062,0.0008138020833333334
Nofi_94GHz,32,common,4573,82.96875,14.477512185929925,402.457275390625,760.2294921875,0.0008138020833333334
Nofi_100GHz,32,common,4573,82.96875,14.477512185929925,399.9833984375,758.7567138671875,0.0008138020833333334
Nofi_143GHz,32,common,4573,82.96875,14.477512185929925,396.29443359375,753.6378784179688,0.0008138020833333334
PR3_Commander,32,ext,4445,81.56249999999999,15.713861048008212,326.77099609375,662.9517211914062,0.0008138020833333334
PR3_NILC,32,ext,4573,82.96875,14.477512185929925,327.540283203125,662.4411010742188,0.0008138020833333334
PR3_SEVEM,32,ext,4445,81.56249999999999,15.713861048008212,328.8225402832031,659.5819091796875,0.0008138020833333334
PR3_SMICA,32,ext,4445,81.56249999999999,15.713861048008212,328.51812744140625,663.1728515625,0.0008138020833333334
Nofi_70GHz,32,ext,4445,81.56249999999999,15.713861048008212,328.3807373046875,652.1231079101562,0.0008138020833333334
Nofi_94GHz,32,ext,4445,81.56249999999999,15.713861048008212,333.92755126953125,658.234130859375,0.0008138020833333334
Nofi_100GHz,32,ext,4445,81.56249999999999,15.713861048008212,331.38055419921875,656.527587890625,0.0008138020833333334
Nofi_143GHz,32,ext,4445,81.56249999999999,15.713861048008212,328.24560546875,651.286865234375,0.0008138020833333334
