config,map,N,k,p,ci68
N16_Splanck_Kcommon_mdON_harm,PR3_Commander,100000,15,0.00015,"[1.16e-04,1.99e-04]"
N16_Splanck_Kcommon_mdON_harm,PR3_NILC,100000,15,0.00015,"[1.16e-04,1.99e-04]"
N16_Splanck_Kcommon_mdON_harm,PR3_SEVEM,100000,15,0.00015,"[1.16e-04,1.99e-04]"
N16_Splanck_Kcommon_mdON_harm,PR3_SMICA,100000,16,0.00016,"[1.25e-04,2.11e-04]"
N16_Splanck_Kcommon_mdON_harm,Nofi_70GHz,100000,27,0.00027,"[2.23e-04,3.32e-04]"
N16_Splanck_Kcommon_mdON_harm,Nofi_94GHz,100000,31,0.00031,"[2.59e-04,3.76e-04]"
N16_Splanck_Kcommon_mdON_harm,Nofi_100GHz,100000,27,0.00027,"[2.23e-04,3.32e-04]"
N16_Splanck_Kcommon_mdON_harm,Nofi_143GHz,100000,21,0.00021,"[1.69e-04,2.66e-04]"
N16_Splanck_Kcommon_mdON_harm,PR4_Sevem,100000,15,0.00015,"[1.16e-04,1.99e-04]"
N16_Splanck_Kcommon_mdON_harm,PR4_Commander,100000,14,0.00014,"[1.08e-04,1.88e-04]"
N16_Splanck_Kext_mdON_harm,PR3_Commander,100000,56,0.00056,"[4.90e-04,6.45e-04]"
N16_Splanck_Kext_mdON_harm,PR3_NILC,100000,56,0.00056,"[4.90e-04,6.45e-04]"
N16_Splanck_Kext_mdON_harm,PR3_SEVEM,100000,61,0.00061,"[5.37e-04,6.98e-04]"
N16_Splanck_Kext_mdON_harm,PR3_SMICA,100000,57,0.00057,"[5.00e-04,6.55e-04]"
N16_Splanck_Kext_mdON_harm,Nofi_70GHz,100000,95,0.00095,"[8.58e-04,1.06e-03]"
N16_Splanck_Kext_mdON_harm,Nofi_94GHz,100000,147,0.00147,"[1.35e-03,1.60e-03]"
N16_Splanck_Kext_mdON_harm,Nofi_100GHz,100000,121,0.00121,"[1.11e-03,1.33e-03]"
N16_Splanck_Kext_mdON_harm,Nofi_143GHz,100000,95,0.00095,"[8.58e-04,1.06e-03]"
N16_Splanck_Kext_mdON_harm,PR4_Sevem,100000,57,0.00057,"[5.00e-04,6.55e-04]"
N16_Splanck_Kext_mdON_harm,PR4_Commander,100000,58,0.00058,"[5.09e-04,6.66e-04]"
N32_Splanck_Kcommon_mdON_harm,PR3_Commander,10000,3,0.0003,"[1.73e-04,5.90e-04]"
N32_Splanck_Kcommon_mdON_harm,PR3_NILC,10000,3,0.0003,"[1.73e-04,5.90e-04]"
N32_Splanck_Kcommon_mdON_harm,PR3_SEVEM,10000,4,0.0004,"[2.47e-04,7.15e-04]"
N32_Splanck_Kcommon_mdON_harm,PR3_SMICA,10000,3,0.0003,"[1.73e-04,5.90e-04]"
N32_Splanck_Kcommon_mdON_harm,Nofi_70GHz,10000,3,0.0003,"[1.73e-04,5.90e-04]"
N32_Splanck_Kcommon_mdON_harm,Nofi_94GHz,10000,5,0.0005,"[3.24e-04,8.36e-04]"
N32_Splanck_Kcommon_mdON_harm,Nofi_100GHz,10000,4,0.0004,"[2.47e-04,7.15e-04]"
N32_Splanck_Kcommon_mdON_harm,Nofi_143GHz,10000,3,0.0003,"[1.73e-04,5.90e-04]"
N32_Splanck_Kcommon_mdON_harm,PR4_Sevem,10000,3,0.0003,"[1.73e-04,5.90e-04]"
N32_Splanck_Kcommon_mdON_harm,PR4_Commander,10000,3,0.0003,"[1.73e-04,5.90e-04]"
N32_Splanck_Kext_mdON_harm,PR3_Commander,10000,9,0.0009,"[6.49e-04,1.31e-03]"
N32_Splanck_Kext_mdON_harm,PR3_NILC,10000,9,0.0009,"[6.49e-04,1.31e-03]"
N32_Splanck_Kext_mdON_harm,PR3_SEVEM,10000,10,0.001,"[7.33e-04,1.42e-03]"
N32_Splanck_Kext_mdON_harm,PR3_SMICA,10000,10,0.001,"[7.33e-04,1.42e-03]"
N32_Splanck_Kext_mdON_harm,Nofi_70GHz,10000,10,0.001,"[7.33e-04,1.42e-03]"
N32_Splanck_Kext_mdON_harm,Nofi_94GHz,10000,15,0.0015,"[1.16e-03,1.99e-03]"
N32_Splanck_Kext_mdON_harm,Nofi_100GHz,10000,11,0.0011,"[8.17e-04,1.54e-03]"
N32_Splanck_Kext_mdON_harm,Nofi_143GHz,10000,9,0.0009,"[6.49e-04,1.31e-03]"
N32_Splanck_Kext_mdON_harm,PR4_Sevem,10000,10,0.001,"[7.33e-04,1.42e-03]"
N32_Splanck_Kext_mdON_harm,PR4_Commander,10000,10,0.001,"[7.33e-04,1.42e-03]"
